Year, Entries
1479,2
1483,1
1491,1
1497,1
1513,1
1515,2
1518,1
1525,1
1529,1
1533,1
1534,2
1535,1
1537,1
1539,2
1541,1
1543,1
1544,2
1547,1
1548,2
1550,1
1551,1
1554,1
1557,1
1566,2
1569,1
1571,1
1572,1
1573,1
1574,2
1577,2
1578,1
1585,2
1586,2
1589,1
1592,1
1595,1
1599,1
1600,2
1603,2
1606,1
1608,2
1609,1
1610,1
1612,2
1613,2
1614,1
1615,1
1616,1
1622,1
1623,3
1624,1
1625,1
1626,1
1629,1
1630,2
1631,3
1632,4
1633,5
1634,2
1635,3
1636,1
1637,2
1638,1
1639,1
1640,2
1641,2
1642,1
1649,1
1650,1
1651,4
1652,1
1653,1
1654,1
1658,1
1659,1
1660,1
1661,2
1662,1
1663,2
1664,2
1665,2
1667,1
1669,1
1670,1
1672,1
1674,1
1675,1
1676,1
1677,1
1679,1
1681,2
1682,1
1683,2
1684,2
1687,2
1692,1
1698,1
1699,1
1701,1
1712,1
1716,1
1717,1
1719,2
1720,2
1721,2
1722,2
1727,2
1730,1
1731,1
1733,1
1734,2
1735,1
1736,3
1742,1
1747,2
1748,1
1749,2
1750,2
1752,1
1757,2
1759,1
1760,1
1762,1
1763,1
1766,1
1772,2
1773,1
1775,2
1777,1
1778,2
1780,2
1781,2
1782,1
1784,2
1785,1
1786,2
1787,1
1788,2
1790,2
1791,1
1792,1
1794,1
1796,3
1798,2
1800,1
1803,1
1804,2
1805,2
1806,2
1807,5
1808,2
1809,4
1810,3
1811,1
1812,2
1813,3
1814,4
1815,5
1816,1
1817,3
1818,5
1819,5
1820,5
1821,3
1822,5
1823,3
1824,3
1825,8
1826,7
1827,3
1828,4
1829,3
1830,7
1831,1
1832,3
1833,3
1834,4
1835,3
1836,5
1837,5
1838,4
1839,6
1840,8
1841,4
1842,2
1843,9
1844,5
1845,7
1846,7
1847,11
1848,10
1849,4
1850,8
1851,5
1852,6
1853,9
1854,5
1855,5
1856,3
1857,7
1858,12
1859,8
1860,5
1861,4
1862,7
1863,6
1864,5
1865,7
1866,13
1867,12
1868,12
1869,11
1870,12
1871,15
1872,12
1873,15
1874,22
1875,29
1876,26
1877,18
1878,12
1879,19
1880,11
1881,20
1882,22
1883,13
1884,21
1885,18
1886,26
1887,32
1888,16
1889,24
1890,29
1891,30
1892,30
1893,28
1894,25
1895,27
1896,22
1897,22
1898,29
1899,39
1900,20
1901,21
1902,26
1903,18
1904,22
1905,20
1906,23
1907,18
1908,18
1909,6
1910,1
        ,
